"Story","Title","Result","Date","Stability","Duration (s)"
"Title of your feature","Dar de alta a un usuario","SUCCESS","20:50:54","0.0","14.07"
"Title of your feature","Log in de un usuario","SUCCESS","20:51:08","0.0","9.39"
"Title of your feature","Log out de un usuario","SUCCESS","20:51:18","0.0","11.49"
"Title of your feature","Agregar laptop","SUCCESS","20:51:29","0.0","19.67"
"Title of your feature","Validar productos agregados al carrito","SUCCESS","20:51:49","0.0","25.87"
"Demoblaze","Dar de alta a un usuario","SUCCESS","23:16:39","0.0","16.85"
"Demoblaze","Log in de un usuario","SUCCESS","23:16:56","0.0","11.22"
"Demoblaze","Log out de un usuario","SUCCESS","23:17:07","0.0","17.73"
"Demoblaze","Agregar laptop al carrito","SUCCESS","23:17:25","0.0","20.85"
"Demoblaze","Validar productos agregados al carrito","SUCCESS","23:18:56","0.0","32.13"
